ObjectName	PosX	PosY
나무	3253	210
나무	3253	182
나무	3253	151
나무	3253	120
나무	3253	90
나무	3252	59
쇠	11173	829
쇠	11205	830
쇠	11235	830
쇠	11265	830
쇠	11173	860
쇠	11173	890
쇠	11173	922
쇠	11173	952
쇠	11205	861
쇠	11237	861
쇠	11268	859
쇠	11204	892
쇠	11237	893
쇠	11268	890
쇠	11202	924
쇠	11202	953
쇠	11233	923
쇠	11264	921
쇠	11235	953
쇠	11265	952
폭탄	8043	646
폭탄	8139	433
폭탄	8408	429
나무	3253	29
나무	3223	210
나무	3223	184
나무	3223	152
나무	3224	122
나무	3224	93
나무	3224	63
나무	3225	34
폭탄	3400	206
폭탄	3507	344
폭탄	3617	482
폭탄	3723	626
토마토	3364	316
토마토	3442	408
토마토	3525	515
바나나	3607	628
바나나	3683	727
바나나	3753	823
토마토	2092	275
토마토	1476	277
바나나	2324	351
토마토	4607	780
토마토	4710	710
토마토	4945	851
바나나	5319	858
바나나	5691	859
토마토	5933	784
토마토	6598	638
폭탄	6919	857
나무	7554	923
나무	7585	923
나무	7617	924
나무	7649	922
나무	7555	893
나무	7584	893
나무	7616	894
나무	7647	892
나무	7553	863
나무	7583	862
나무	7614	862
나무	7647	862
쇠	7553	833
쇠	7553	804
폭탄	9033	784
쇠	7554	774
쇠	7555	744
쇠	7582	830
쇠	7581	802
쇠	7584	774
쇠	7585	746
쇠	7612	834
쇠	7612	806
쇠	7613	777
쇠	7613	748
쇠	7643	834
쇠	7644	802
쇠	7643	772
쇠	7645	746
토마토	9358	854
토마토	9846	927
바나나	10147	854
토마토	10487	928
토마토	10797	857
토마토	10165	427
토마토	10520	502
토마토	10973	426
토마토	11384	497
토마토	12408	501
토마토	13379	359
바나나	13588	359
바나나	13882	355
나무	18827	756
나무	18827	723
나무	18828	690
나무	18827	658
나무	18827	626
나무	18829	595
나무	18861	591
나무	18892	593
나무	18923	592
나무	18954	593
나무	18953	624
나무	18954	654
나무	18955	685
나무	18957	716
나무	18955	748
토마토	14342	746
토마토	14483	747
바나나	14638	746
바나나	14786	754
토마토	14934	753
폭탄	15062	751
토마토	15186	750
바나나	15324	749
폭탄	15472	749
토마토	15608	748
폭탄	15741	748
토마토	15887	746
폭탄	16028	745
바나나	16163	746
토마토	16309	748
토마토	16466	746
토마토	16631	746
나무	9961	133
쇠	3676	546
쇠	3568	405
쇠	3460	266
토마토	2842	305
바나나	3031	222
폭탄	2441	424
@
